Date,Ticker,Risk Group,Frequency,Predicted,Actual
2024-10-30 07:00:00+00:00,ETH-USD,Low,hourly,-12.006487188427087,-10.893121211043074
2024-10-30 08:00:00+00:00,ETH-USD,Low,hourly,-11.957367031094716,-11.95000609163504
2024-10-30 09:00:00+00:00,ETH-USD,Low,hourly,-12.366838969683771,-9.103833715552176
2024-10-30 10:00:00+00:00,ETH-USD,Low,hourly,-11.829599716768396,-11.343337172658677
2024-10-30 11:00:00+00:00,ETH-USD,Low,hourly,-11.811289662111088,-9.436502665610243
2024-10-30 12:00:00+00:00,ETH-USD,Low,hourly,-11.476298657055569,-8.996942301780262
2024-10-30 13:00:00+00:00,ETH-USD,Low,hourly,-11.204891106954669,-11.244710434079789
2024-10-30 14:00:00+00:00,ETH-USD,Low,hourly,-11.234357889824313,-10.590721981009391
2024-10-30 15:00:00+00:00,ETH-USD,Low,hourly,-10.971671827181074,-9.239478891609853
2024-10-30 16:00:00+00:00,ETH-USD,Low,hourly,-10.940609263356242,-11.996748862940256
2024-10-30 17:00:00+00:00,ETH-USD,Low,hourly,-10.90279127475206,-10.120022157735995
2024-10-30 18:00:00+00:00,ETH-USD,Low,hourly,-11.126055209441642,-11.827280523829858
2024-10-30 19:00:00+00:00,ETH-USD,Low,hourly,-10.664315972735562,-12.317458663560728
2024-10-30 20:00:00+00:00,ETH-USD,Low,hourly,-11.076769057039154,-10.394880035567098
2024-10-30 21:00:00+00:00,ETH-USD,Low,hourly,-11.491868578508035,-10.25866803187345
2024-10-30 22:00:00+00:00,ETH-USD,Low,hourly,-10.954563809306244,-15.465834122892222
2024-10-30 23:00:00+00:00,ETH-USD,Low,hourly,-11.522212885377963,-15.626404637603557
2024-10-31 00:00:00+00:00,ETH-USD,Low,hourly,-11.216812662687609,-18.82326762942377
2024-10-31 01:00:00+00:00,ETH-USD,Low,hourly,-11.849229378182594,-11.992154103842186
2024-10-31 02:00:00+00:00,ETH-USD,Low,hourly,-12.71872957001113,-13.07695942552736
2024-10-31 03:00:00+00:00,ETH-USD,Low,hourly,-12.330094543718422,-12.631962528189677
2024-10-31 04:00:00+00:00,ETH-USD,Low,hourly,-12.692045580503422,-11.28581601232906
2024-10-31 05:00:00+00:00,ETH-USD,Low,hourly,-12.424596615317679,-13.714438756702297
2024-10-31 06:00:00+00:00,ETH-USD,Low,hourly,-12.441961915123104,-10.861979175249685
2024-10-31 07:00:00+00:00,ETH-USD,Low,hourly,-12.455914762395468,-11.363678118446185
2024-10-31 08:00:00+00:00,ETH-USD,Low,hourly,-12.393841836969372,-11.113034405792272
2024-10-31 09:00:00+00:00,ETH-USD,Low,hourly,-12.033581444166895,-15.540790085185206
2024-10-31 10:00:00+00:00,ETH-USD,Low,hourly,-12.145512293887348,-11.107753799485709
2024-10-31 11:00:00+00:00,ETH-USD,Low,hourly,-12.308981659943871,-11.907722831375972
2024-10-31 12:00:00+00:00,ETH-USD,Low,hourly,-12.150077724235274,-14.185871755686172
2024-10-31 13:00:00+00:00,ETH-USD,Low,hourly,-12.329960951183798,-8.439765552970414
2024-10-31 14:00:00+00:00,ETH-USD,Low,hourly,-12.454540573802216,-7.883427457175173
2024-10-31 15:00:00+00:00,ETH-USD,Low,hourly,-11.934139594914654,-10.133008038632791
2024-10-31 16:00:00+00:00,ETH-USD,Low,hourly,-11.782866910655084,-10.867429186059296
2024-10-31 17:00:00+00:00,ETH-USD,Low,hourly,-11.44914022178306,-10.390657305060635
2024-10-31 18:00:00+00:00,ETH-USD,Low,hourly,-11.546365894463017,-10.279318253120096
2024-10-31 19:00:00+00:00,ETH-USD,Low,hourly,-11.476310468493692,-10.728773735462145
2024-10-31 20:00:00+00:00,ETH-USD,Low,hourly,-11.183299452148512,-12.995135220337191
2024-10-31 21:00:00+00:00,ETH-USD,Low,hourly,-11.125904092038681,-11.65825534806278
2024-10-31 22:00:00+00:00,ETH-USD,Low,hourly,-11.783477692032392,-12.914192465758438
2024-10-31 23:00:00+00:00,ETH-USD,Low,hourly,-11.785634886565834,-13.438898324122654
2024-11-01 00:00:00+00:00,ETH-USD,Low,hourly,-12.187456884308778,-11.798696682625032
2024-11-01 01:00:00+00:00,ETH-USD,Low,hourly,-11.691802876653155,-9.316535595690336
2024-11-01 02:00:00+00:00,ETH-USD,Low,hourly,-11.80079938677724,-11.278284640178768
2024-11-01 03:00:00+00:00,ETH-USD,Low,hourly,-11.514265098258315,-11.501508098287804
2024-11-01 04:00:00+00:00,ETH-USD,Low,hourly,-11.368770625634804,-11.200452833333827
2024-11-01 05:00:00+00:00,ETH-USD,Low,hourly,-11.602227687180203,-15.757922430066992
2024-11-01 06:00:00+00:00,ETH-USD,Low,hourly,-11.303664596482104,-11.606984703787932
2024-11-01 07:00:00+00:00,ETH-USD,Low,hourly,-11.790550912569817,-15.244464805260789
2024-11-01 08:00:00+00:00,ETH-USD,Low,hourly,-11.74962490574717,-12.536658331181258
2024-11-01 09:00:00+00:00,ETH-USD,Low,hourly,-12.497580077935169,-10.892713260687009
2024-11-01 10:00:00+00:00,ETH-USD,Low,hourly,-12.09932505649752,-11.484968005485246
2024-11-01 11:00:00+00:00,ETH-USD,Low,hourly,-12.05232717855287,-14.855062756662033
2024-11-01 12:00:00+00:00,ETH-USD,Low,hourly,-12.202761322789254,-9.666228638552562
2024-11-01 13:00:00+00:00,ETH-USD,Low,hourly,-11.944342434995974,-8.722160694542737
2024-11-01 14:00:00+00:00,ETH-USD,Low,hourly,-11.668135810986103,-11.412632354348853
